compound,E_a,A_site,B_site,X_site,A_valence,EN_A,EN_B,EN_X,R_A,R_B,R_X,Polarizability_A,Polarizability_B,Polarizability_X,EA_A,EA_B,EA_X,a,b,c,d_AX,d_BX,k_64m,U,t_ratio,alpha,E_hull
ZnLa2Se4,0.8814393899999686,Zn,La,Se,2,1.65,1.1,2.55,0.6,1.032,1.98,38.67,215.0,28.9,,0.47,2.02067,12.004509,12.004509,12.004509,2.54314,3.008755,1.183087,0.372311,1.0,94.1291,0.139660408
ZnSc2O4,0.8772348699999952,Zn,Sc,O,2,1.65,1.36,3.44,0.6,745,1.4,38.67,97.0,5.3,,188,1.4611135,8.818354,8.818354,8.818354,2.023686,2.121073,1.048123,0.382494,1.0,94.4758,0.042717313
AlSc2S4,0.8692735900000343,Al,Sc,S,3,1.61,1.36,2.58,0.39,745,1.84,57.8,97.0,19.4,0.43283,188,2.07710403,10.462143,10.462143,10.462143,2.283017,2.59473,1.136536,0.375988,1.0,90.6197,0.011040721
MgV2S4,0.8686092600000279,Mg,V,S,2,1.31,1.63,2.58,0.57,0.64,1.84,71.2,87.0,19.4,,525,2.07710403,10.348919,10.348919,10.348919,2.487933,2.4804,0.996972,0.388798,1.0,95.8781,0.121420319
CaCo2Se4,0.8655544000000077,Ca,Co,Se,2,1.0,1.88,2.55,1.0,0.61,1.98,160.8,55.0,28.9,0.02455,0.66225646,2.02067,10.679706,10.679706,10.679706,2.762721,2.452858,0.887841,0.399354,1.0,102.0382,0.251579767
ZnY2S4,0.864972430000023,Zn,Y,S,2,1.65,1.22,2.58,0.6,0.9,1.84,38.67,162.0,19.4,,307,2.07710403,11.018002,11.018002,11.018002,2.395687,2.731429,1.140144,0.375536,1.0,90.801,0.03412445
AlMn2O4,0.857257489999995,Al,Mn,O,3,1.61,1.55,3.44,0.39,645,1.4,57.8,68.0,5.3,0.43283,,1.4611135,8.170303,8.61565,8.61565,1.799718,2.096668,1.164998,0.372717,1.054508,90.2836,0.104807494
ZnFe2Se4,0.8535485799999947,Zn,Fe,Se,2,1.65,1.83,2.55,0.6,645,1.98,38.67,62.0,28.9,,151,2.02067,10.232295,10.232295,10.232295,2.474999,2.433285,0.983146,0.38965,1.0,97.1508,0.150730413
ZnEr2S4,0.843063509999979,Zn,Er,S,2,1.65,1.24,2.58,0.6,0.89,1.84,38.67,150.0,19.4,,,2.07710403,10.947075,10.947075,10.947075,2.392072,2.708196,1.132155,0.376158,1.0,91.0857,0.034061975
NaAl2O4,0.8406464199999846,Na,Al,O,1,0.93,1.61,3.44,0.99,535,1.4,162.7,57.8,5.3,0.547926,0.43283,1.4611135,8.413287,8.418445,8.418445,2.151153,1.942696,0.903095,0.39756,1.000613,100.8144,0.197993915
ZnAl2S4,0.833605260000013,Zn,Al,S,2,1.65,1.61,2.58,0.6,535,1.84,38.67,57.8,19.4,,0.43283,2.07710403,10.0862,10.0862,10.0862,2.341875,2.427161,1.036418,0.384053,1.0,94.7065,0.002439546
ZnTm2S4,0.8334902100000363,Zn,Tm,S,2,1.65,1.25,2.58,0.6,0.88,1.84,38.67,144.0,19.4,,1.029,2.07710403,10.911096,10.911096,10.911096,2.389768,2.696715,1.128442,0.376452,1.0,91.2077,0.038652935
AlY2Se4,0.819446580000033,Al,Y,Se,3,1.61,1.22,2.55,0.39,0.9,1.98,57.8,162.0,28.9,0.43283,307,2.02067,11.443664,11.443664,11.443664,2.443357,2.867455,1.173572,0.373271,1.0,90.6278,0.064525623
MgTi2O4,0.8169707199999721,Mg,Ti,O,2,1.31,1.54,3.44,0.57,0.67,1.4,71.2,87.0,5.3,,79,1.4611135,8.521476,8.529236,8.529236,1.984879,2.05137,1.033499,0.384399,1.000911,94.1924,0.012841541
AlTi2O4,0.8096467099999813,Al,Ti,O,3,1.61,1.54,3.44,0.39,0.67,1.4,57.8,87.0,5.3,0.43283,79,1.4611135,8.355913,8.348176,8.348176,1.772452,2.091636,1.18008,0.372543,0.999074,90.97,0.059236094
ZnIn2S4,0.808152419999999,Zn,In,S,2,1.65,1.78,2.58,0.6,0.8,1.84,38.67,65.0,19.4,,0.3,2.07710403,10.748499,10.748499,10.748499,2.38275,2.64248,1.109004,0.377988,1.0,92.05,0.014665508
ZnFe2O4,0.8073704099999759,Zn,Fe,O,2,1.65,1.83,3.44,0.6,645,1.4,38.67,62.0,5.3,,151,1.4611135,8.514169,8.493702,8.493702,1.986921,2.026406,1.019873,0.38495,0.997596,95.4882,-0.036369614
ZnAl2Se4,0.7961789400000043,Zn,Al,Se,2,1.65,1.61,2.55,0.6,535,1.98,38.67,57.8,28.9,,0.43283,2.02067,10.694701,10.694701,10.694701,2.477049,2.58156,1.042192,0.383723,1.0,94.5514,0.031437679
AlCr2O4,0.7950735300000247,Al,Cr,O,3,1.61,1.66,3.44,0.39,615,1.4,57.8,83.0,5.3,0.43283,0.6659999999999999,1.4611135,8.251355,8.457781,8.457781,1.8184,2.068189,1.137368,0.375147,1.025017,90.7707,0.123253757
ZnCr2O4,0.788421239999991,Zn,Cr,O,2,1.65,1.66,3.44,0.6,615,1.4,38.67,83.0,5.3,,0.6659999999999999,1.4611135,8.445121,8.487954,8.487954,2.005233,2.013232,1.003989,0.386626,1.005072,95.407,0.038742996
CaCr2Se4,0.7861087499999826,Ca,Cr,Se,2,1.0,1.66,2.55,1.0,615,1.98,160.8,83.0,28.9,0.02455,0.6659999999999999,2.02067,11.117362,11.117362,11.117362,2.78881,2.588667,0.928234,0.394829,1.0,99.6525,0.125724937
ZnSc2S4,0.7800551999999925,Zn,Sc,S,2,1.65,1.36,2.58,0.6,745,1.84,38.67,97.0,19.4,,188,2.07710403,10.547775,10.547775,10.547775,2.360725,2.584125,1.094632,0.379218,1.0,92.3685,0.011793951
ZnY2Se4,0.7723169700000199,Zn,Y,Se,2,1.65,1.22,2.55,0.6,0.9,1.98,38.67,162.0,28.9,,307,2.02067,11.532001,11.532001,11.532001,2.510649,2.861099,1.139585,0.375696,1.0,90.8154,0.036299624
ZnGa2S4,0.7609878600000002,Zn,Ga,S,2,1.65,1.81,2.58,0.6,0.62,1.84,38.67,50.0,19.4,,0.43,2.07710403,10.239935,10.239935,10.239935,2.353439,2.480356,1.053928,0.382692,1.0,94.1291,0.127403351
ZnEr2Se4,0.7582034000000135,Zn,Er,Se,2,1.65,1.24,2.55,0.6,0.89,1.98,38.67,150.0,28.9,,,2.02067,11.458445,11.458445,11.458445,2.505512,2.837296,1.132422,0.376244,1.0,91.0638,0.041327114
AlEr2Se4,0.7576419699999519,Al,Er,Se,3,1.61,1.24,2.55,0.39,0.89,1.98,57.8,150.0,28.9,0.43283,,2.02067,11.383755,11.383755,11.383755,2.447625,2.843511,1.161743,0.374136,1.0,90.1739,0.082047029
ZnCr2Se4,0.753821749999986,Zn,Cr,Se,2,1.65,1.66,2.55,0.6,615,1.98,38.67,83.0,28.9,,0.6659999999999999,2.02067,10.594841,10.594841,10.594841,2.486377,2.543867,1.023122,0.385491,1.0,95.1033,0.013161746
ZnTm2Se4,0.7533699900000101,Zn,Tm,Se,2,1.65,1.25,2.55,0.6,0.88,1.98,38.67,144.0,28.9,,1.029,2.02067,11.426712,11.426712,11.426712,2.505693,2.826886,1.128185,0.376604,1.0,91.1916,0.038056306
CaSc2Se4,0.7500958900000114,Ca,Sc,Se,2,1.0,1.36,2.55,1.0,745,1.98,160.8,97.0,28.9,0.02455,188,2.02067,11.589535,11.589535,11.589535,2.80021,2.747829,0.981294,0.389497,1.0,96.8962,0.076102938
MgAl2O4,0.7396478800000068,Mg,Al,O,2,1.31,1.61,3.44,0.57,535,1.4,71.2,57.8,5.3,,0.43283,1.4611135,8.17153,8.17153,8.17153,1.959341,1.933139,0.986627,0.388435,1.0,96.7819,0.005299878
MgY2O4,0.7387290099999859,Mg,Y,O,2,1.31,1.22,3.44,0.57,0.9,1.4,71.2,162.0,5.3,,307,1.4611135,9.344874,9.344874,9.344874,2.086336,2.272734,1.089343,0.378899,1.0,92.8079,0.126864489
ZnCo2Se4,0.7346176500000183,Zn,Co,Se,2,1.65,1.88,2.55,0.6,0.61,1.98,38.67,55.0,28.9,,0.66225646,2.02067,10.188286,10.188286,10.188286,2.493793,2.398362,0.961733,0.391318,1.0,97.9436,0.049959226
AlTm2Se4,0.7318161800000098,Al,Tm,Se,3,1.61,1.25,2.55,0.39,0.88,1.98,57.8,144.0,28.9,0.43283,1.029,2.02067,11.35776,11.35776,11.35776,2.450366,2.833041,1.15617,0.37456,1.0,90.0317,0.084206923
CaRu2O4,0.7312520099999915,Ca,Ru,O,2,1.0,2.2,3.44,1.0,0.68,1.4,160.8,72.0,5.3,0.02455,1.05,1.4611135,10.264332,8.034704,8.034704,2.25227,2.075453,0.921494,0.398139,0.782779,103.2358,0.127749669
LiIn2O4,0.7255971100000238,Li,In,O,1,0.98,1.78,3.44,0.59,0.8,1.4,164.1125,65.0,5.3,0.618049,0.3,1.4611135,9.093532,9.093532,9.093532,2.092568,2.191594,1.047323,0.382858,1.0,94.1874,0.122246464
ZnSc2Se4,0.7138327800000184,Zn,Sc,Se,2,1.65,1.36,2.55,0.6,745,1.98,38.67,97.0,28.9,,188,2.02067,11.081371,11.081371,11.081371,2.482117,2.717863,1.094978,0.379321,1.0,92.3528,0.019108614
CaSc2S4,0.7097382800000105,Ca,Sc,S,2,1.0,1.36,2.58,1.0,745,1.84,160.8,97.0,19.4,0.02455,188,2.07710403,11.050182,11.050182,11.050182,2.677217,2.613742,0.976291,0.389879,1.0,97.1526,0.059610732
MgEr2O4,0.7032539399999678,Mg,Er,O,2,1.31,1.24,3.44,0.57,0.89,1.4,71.2,150.0,5.3,,,1.4611135,9.270997,9.270997,9.270997,2.079928,2.251003,1.08225,0.379527,1.0,93.0367,0.142786459
AlNi2S4,0.7028612400000043,Al,Ni,S,3,1.61,1.91,2.58,0.39,0.6,1.84,57.8,49.0,19.4,0.43283,1.156,2.07710403,9.729134,9.729134,9.729134,2.285901,2.321623,1.015627,0.385651,1.0,95.4526,0.154462883
ZnIn2Se4,0.6998794099999941,Zn,In,Se,2,1.65,1.78,2.55,0.6,0.8,1.98,38.67,65.0,28.9,,0.3,2.02067,11.307816,11.307816,11.307816,2.512453,2.780702,1.106768,0.37828,1.0,92.1367,0.056148537
AlRu2O4,0.6980762900000173,Al,Ru,O,3,1.61,2.2,3.44,0.39,0.68,1.4,57.8,72.0,5.3,0.43283,1.05,1.4611135,8.413946,8.420608,8.420608,1.785431,2.11019,1.181894,0.372449,1.000792,90.867,0.369094187
MgMn2O4,0.6964592799999991,Mg,Mn,O,2,1.31,1.55,3.44,0.57,645,1.4,71.2,68.0,5.3,,,1.4611135,8.124507,8.78467,8.78467,2.002407,2.0384,1.017975,0.384984,1.081256,94.0121,0.035596371
CaAl2Se4,0.6963169200000152,Ca,Al,Se,2,1.0,1.61,2.55,1.0,535,1.98,160.8,57.8,28.9,0.02455,0.43283,2.02067,11.210168,11.210168,11.210168,2.766639,2.631434,0.95113,0.392488,1.0,98.4472,0.165743979
MgTm2O4,0.6814896399999952,Mg,Tm,O,2,1.31,1.25,3.44,0.57,0.88,1.4,71.2,144.0,5.3,,1.029,1.4611135,9.226797,9.226797,9.226797,2.07783,2.23732,1.076758,0.380017,1.0,93.2131,0.135955136
AlCo2S4,0.6808415099999934,Al,Co,S,3,1.61,1.88,2.58,0.39,0.61,1.84,57.8,55.0,19.4,0.43283,0.66225646,2.07710403,9.601255,9.601255,9.601255,2.30582,2.274616,0.986467,0.388655,1.0,96.6946,0.120494221
AlNi2Se4,0.6718032200000152,Al,Ni,Se,3,1.61,1.91,2.55,0.39,0.6,1.98,57.8,49.0,28.9,0.43283,1.156,2.02067,10.309674,10.309674,10.309674,2.452353,2.452022,0.999865,0.387334,1.0,96.2341,0.125398268
AlSc2Se4,0.6629754499999763,Al,Sc,Se,3,1.61,1.36,2.55,0.39,745,1.98,57.8,97.0,28.9,0.43283,188,2.02067,11.026665,11.026665,11.026665,2.430153,2.726799,1.122069,0.377242,1.0,91.1903,0.040353368
CaAl2S4,0.6611503199999902,Ca,Al,S,2,1.0,1.61,2.58,1.0,535,1.84,160.8,57.8,19.4,0.02455,0.43283,2.07710403,10.600404,10.600404,10.600404,2.630224,2.480091,0.94292,0.393255,1.0,98.8971,0.167247029
AlMn2Se4,0.6574617499999817,Al,Mn,Se,3,1.61,1.55,2.55,0.39,645,1.98,57.8,68.0,28.9,0.43283,,2.02067,10.770743,10.770743,10.770743,2.436365,2.620966,1.075769,0.380598,1.0,92.9317,-0.078531467
ZnGa2Se4,0.6562674799999968,Zn,Ga,Se,2,1.65,1.81,2.55,0.6,0.62,1.98,38.67,50.0,28.9,,0.43,2.02067,10.83473,10.83473,10.83473,2.489951,2.626914,1.055006,0.382682,1.0,94.086,0.153784085
MgNi2O4,0.6544252799999981,Mg,Ni,O,2,1.31,1.91,3.44,0.57,0.6,1.4,71.2,49.0,5.3,,1.156,1.4611135,7.854672,8.516284,8.516284,1.978454,1.964315,0.992853,0.387692,1.084232,95.9779,0.063506603
CaGa2S4,0.6528471600000216,Ca,Ga,S,2,1.0,1.81,2.58,1.0,0.62,1.84,160.8,50.0,19.4,0.02455,0.43,2.07710403,10.760465,10.760465,10.760465,2.649109,2.527416,0.954063,0.392137,1.0,98.3196,0.257805351
CaTi2O4,0.6446922499999914,Ca,Ti,O,2,1.0,1.54,3.44,1.0,0.67,1.4,160.8,87.0,5.3,0.02455,79,1.4611135,8.880413,8.856101,8.856101,2.1936,2.071439,0.94431,0.392875,0.997262,98.6635,0.094237403
CaTm2Se4,0.6379029400000036,Ca,Tm,Se,2,1.0,1.25,2.55,1.0,0.88,1.98,160.8,144.0,28.9,0.02455,1.029,2.02067,11.922098,11.922098,11.922098,2.825467,2.850941,1.009016,0.386829,1.0,95.6055,0.04526461
NaGa2O4,0.6354048100000114,Na,Ga,O,1,0.93,1.81,3.44,0.99,0.62,1.4,162.7,50.0,5.3,0.547926,0.43,1.4611135,8.744034,8.744034,8.744034,2.20354,2.030475,0.921461,0.395495,1.0,99.5518,0.194562531
CaCr2O4,0.6343420299999707,Ca,Cr,O,2,1.0,1.66,3.44,1.0,615,1.4,160.8,83.0,5.3,0.02455,0.6659999999999999,1.4611135,8.752165,8.836914,8.836914,2.206768,2.041363,0.925046,0.394639,1.009683,99.1462,0.060222549
AlTi2S4,0.6339460300000042,Al,Ti,S,3,1.61,1.54,2.58,0.39,0.67,1.84,57.8,87.0,19.4,0.43283,79,2.07710403,10.138677,10.138677,10.138677,2.253877,2.508151,1.112816,0.378348,1.0,91.9496,0.081399314
CaEr2Se4,0.6335614199999782,Ca,Er,Se,2,1.0,1.24,2.55,1.0,0.89,1.98,160.8,150.0,28.9,0.02455,,2.02067,11.95224,11.95224,11.95224,2.82784,2.860671,1.01161,0.386598,1.0,95.4877,0.044441802
CaGa2Se4,0.6299955700000055,Ca,Ga,Se,2,1.0,1.81,2.55,1.0,0.62,1.98,160.8,50.0,28.9,0.02455,0.43,2.02067,11.359393,11.359393,11.359393,2.78622,2.674975,0.960073,0.391612,1.0,98.009,0.259308822
AlMn2S4,0.6284819400000288,Al,Mn,S,3,1.61,1.55,2.58,0.39,645,1.84,57.8,68.0,19.4,0.43283,,2.07710403,10.340108,10.340108,10.340108,2.308087,2.517269,1.09063,0.378874,1.0,92.3931,0.043316512
MgPd2S4,0.6232353999999987,Mg,Pd,S,2,1.31,2.2,2.58,0.57,0.76,1.84,71.2,26.14,19.4,,562,2.07710403,10.343123,10.343123,10.343123,2.472899,2.447675,0.9898,0.388037,1.0,96.8736,0.193906449
CaMn2Se4,0.6183257800000206,Ca,Mn,Se,2,1.0,1.55,2.55,1.0,645,1.98,160.8,68.0,28.9,0.02455,,2.02067,11.241909,11.241909,11.241909,2.809655,2.627951,0.935329,0.394295,1.0,99.1705,-0.007228706
CaY2Se4,0.6142866999999796,Ca,Y,Se,2,1.0,1.22,2.55,1.0,0.9,1.98,160.8,162.0,28.9,0.02455,307,2.02067,12.022525,12.022525,12.022525,2.833519,2.882183,1.017174,0.386072,1.0,95.2269,0.031424482
AlCr2Se4,0.6118490800000131,Al,Cr,Se,3,1.61,1.66,2.55,0.39,615,1.98,57.8,83.0,28.9,0.43283,0.6659999999999999,2.02067,10.656327,10.656327,10.656327,2.452309,2.573699,1.0495,0.382864,1.0,93.9483,0.039004834
CaPd2Se4,0.6067459999999869,Ca,Pd,Se,2,1.0,2.2,2.55,1.0,0.76,1.98,160.8,26.14,28.9,0.02455,562,2.02067,11.202171,11.202171,11.202171,2.817116,2.595166,0.921214,0.395192,1.0,100.442,0.248822569
CaTi2Se4,0.6063342499999749,Ca,Ti,Se,2,1.0,1.54,2.55,1.0,0.67,1.98,160.8,87.0,28.9,0.02455,79,2.02067,11.29531,11.29531,11.29531,2.803799,2.677151,0.95483,0.393314,1.0,97.7375,0.230622709
MgGa2O4,0.5997830700000009,Mg,Ga,O,2,1.31,1.81,3.44,0.57,0.62,1.4,71.2,50.0,5.3,,0.43,1.4611135,8.46218,8.46218,8.46218,1.986299,2.020891,1.017415,0.385519,1.0,95.4053,0.025763049
AlCo2Se4,0.5995691399999714,Al,Co,Se,3,1.61,1.88,2.55,0.39,0.61,1.98,57.8,55.0,28.9,0.43283,0.66225646,2.02067,10.221794,10.221794,10.221794,2.475754,2.413702,0.974936,0.389836,1.0,97.1628,0.105680474
CaTi2S4,0.5978108500000303,Ca,Ti,S,2,1.0,1.54,2.58,1.0,0.67,1.84,160.8,87.0,19.4,0.02455,79,2.07710403,10.735198,10.735198,10.735198,2.668873,2.53598,0.950206,0.393535,1.0,98.0286,0.209210931
CaCr2S4,0.5929326899999978,Ca,Cr,S,2,1.0,1.66,2.58,1.0,615,1.84,160.8,83.0,19.4,0.02455,0.6659999999999999,2.07710403,10.550802,10.550802,10.550802,2.654969,2.450144,0.922852,0.395282,1.0,100.0132,0.093067325
ZnNi2S4,0.5867236199999866,Zn,Ni,S,2,1.65,1.91,2.58,0.6,0.6,1.84,38.67,49.0,19.4,,1.156,2.07710403,9.743199,9.743199,9.743199,2.346602,2.306006,0.9827,0.389052,1.0,90.6162,0.117050941
CaTm2S4,0.5860111899999652,Ca,Tm,S,2,1.0,1.25,2.58,1.0,0.88,1.84,160.8,144.0,19.4,0.02455,1.029,2.07710403,11.394173,11.394173,11.394173,2.705539,2.717835,1.004545,0.387091,1.0,95.8312,0.031787447
CaIn2Se4,0.5803612100000066,Ca,In,Se,2,1.0,1.78,2.55,1.0,0.8,1.98,160.8,65.0,28.9,0.02455,0.3,2.02067,11.806043,11.806043,11.806043,2.82278,2.812011,0.996185,0.388042,1.0,96.2696,0.088348288
CaIn2S4,0.5797814000000017,Ca,In,S,2,1.0,1.78,2.58,1.0,0.8,1.84,160.8,65.0,19.4,0.02455,0.3,2.07710403,11.242531,11.242531,11.242531,2.693499,2.67263,0.992252,0.388322,1.0,96.4616,0.045412022
MgIn2O4,0.5786488100000042,Mg,In,O,2,1.31,1.78,3.44,0.57,0.8,1.4,71.2,65.0,5.3,,0.3,1.4611135,9.054491,9.054491,9.054491,2.029568,2.203601,1.085749,0.379413,1.0,92.7904,0.031515966
CaEr2S4,0.5751195299999949,Ca,Er,S,2,1.0,1.24,2.58,1.0,0.89,1.84,160.8,150.0,19.4,0.02455,,2.07710403,11.429408,11.429408,11.429408,2.7084,2.72834,1.007362,0.386813,1.0,95.6894,0.028959518
MgCr2S4,0.5603630299999622,Mg,Cr,S,2,1.31,1.66,2.58,0.57,615,1.84,71.2,83.0,19.4,,0.6659999999999999,2.07710403,10.199269,10.199269,10.199269,2.45038,2.421024,0.98802,0.388709,1.0,96.6481,0.014912053
ZnCo2O4,0.55885877999998,Zn,Co,O,2,1.65,1.88,3.44,0.6,0.61,1.4,38.67,55.0,5.3,,0.66225646,1.4611135,8.16,8.564265,8.564265,2.052262,1.97321,0.961481,0.390563,1.049542,95.8639,0.058992428
CaV2O4,0.5574494900000104,Ca,V,O,2,1.0,1.63,3.44,1.0,0.64,1.4,160.8,87.0,5.3,0.02455,525,1.4611135,8.750834,8.979232,8.979232,2.225474,2.069195,0.929777,0.394318,1.0261,96.8198,0.044452786
AlGa2S4,0.554460760000012,Al,Ga,S,3,1.61,1.81,2.58,0.39,0.62,1.84,57.8,50.0,19.4,0.43283,0.43,2.07710403,10.2724,10.2724,10.2724,2.289685,2.518507,1.099936,0.37869,1.0,91.852,0.19522223
CaNd2Se4,0.5511790799999972,Ca,Nd,Se,2,1.0,1.14,2.55,1.0,983,1.98,160.8,208.0,28.9,0.02455,1.916,2.02067,12.317887,12.317887,12.317887,2.852723,2.972993,1.04216,0.38371,1.0,94.2373,0.058346221
CaY2S4,0.5502486600000225,Ca,Y,S,2,1.0,1.22,2.58,1.0,0.9,1.84,160.8,162.0,19.4,0.02455,307,2.07710403,11.502783,11.502783,11.502783,2.714128,2.750077,1.013245,0.386228,1.0,95.4601,0.011693656
ZnNi2Se4,0.5483844799999815,Zn,Ni,Se,2,1.65,1.91,2.55,0.6,0.6,1.98,38.67,49.0,28.9,,1.156,2.02067,10.295557,10.295557,10.295557,2.489006,2.436511,0.97891,0.389577,1.0,90.5687,0.08914363
